r,c,o,a,count
1,14,0,0,1
1,14,0,1,0
1,14,0,2,0
1,14,0,3,0
1,14,0,4,0
1,14,0,5,0
1,14,0,6,0
1,14,0,7,0
1,14,0,8,0
1,14,0,9,0
1,14,0,10,0
1,14,0,11,0
1,14,0,12,0
1,14,0,13,0
1,14,1,0,14
1,14,1,1,0
1,14,1,2,0
1,14,1,3,0
1,14,1,4,0
1,14,1,5,0
1,14,1,6,0
1,14,1,7,0
1,14,1,8,0
1,14,1,9,0
1,14,1,10,0
1,14,1,11,0
1,14,1,12,0
1,14,1,13,0
1,14,2,0,78
1,14,2,1,13
1,14,2,2,0
1,14,2,3,0
1,14,2,4,0
1,14,2,5,0
1,14,2,6,0
1,14,2,7,0
1,14,2,8,0
1,14,2,9,0
1,14,2,10,0
1,14,2,11,0
1,14,2,12,0
1,14,2,13,0
1,14,3,0,220
1,14,3,1,132
1,14,3,2,12
1,14,3,3,0
1,14,3,4,0
1,14,3,5,0
1,14,3,6,0
1,14,3,7,0
1,14,3,8,0
1,14,3,9,0
1,14,3,10,0
1,14,3,11,0
1,14,3,12,0
1,14,3,13,0
1,14,4,0,330
1,14,4,1,495
1,14,4,2,165
1,14,4,3,11
1,14,4,4,0
1,14,4,5,0
1,14,4,6,0
1,14,4,7,0
1,14,4,8,0
1,14,4,9,0
1,14,4,10,0
1,14,4,11,0
1,14,4,12,0
1,14,4,13,0
1,14,5,0,252
1,14,5,1,840
1,14,5,2,720
1,14,5,3,180
1,14,5,4,10
1,14,5,5,0
1,14,5,6,0
1,14,5,7,0
1,14,5,8,0
1,14,5,9,0
1,14,5,10,0
1,14,5,11,0
1,14,5,12,0
1,14,5,13,0
1,14,6,0,84
1,14,6,1,630
1,14,6,2,1260
1,14,6,3,840
1,14,6,4,180
1,14,6,5,9
1,14,6,6,0
1,14,6,7,0
1,14,6,8,0
1,14,6,9,0
1,14,6,10,0
1,14,6,11,0
1,14,6,12,0
1,14,6,13,0
1,14,7,0,8
1,14,7,1,168
1,14,7,2,840
1,14,7,3,1400
1,14,7,4,840
1,14,7,5,168
1,14,7,6,8
1,14,7,7,0
1,14,7,8,0
1,14,7,9,0
1,14,7,10,0
1,14,7,11,0
1,14,7,12,0
1,14,7,13,0
1,14,8,0,0
1,14,8,1,7
1,14,8,2,147
1,14,8,3,735
1,14,8,4,1225
1,14,8,5,735
1,14,8,6,147
1,14,8,7,7
1,14,8,8,0
1,14,8,9,0
1,14,8,10,0
1,14,8,11,0
1,14,8,12,0
1,14,8,13,0
1,14,9,0,0
1,14,9,1,0
1,14,9,2,0
1,14,9,3,56
1,14,9,4,420
1,14,9,5,840
1,14,9,6,560
1,14,9,7,120
1,14,9,8,6
1,14,9,9,0
1,14,9,10,0
1,14,9,11,0
1,14,9,12,0
1,14,9,13,0
1,14,10,0,0
1,14,10,1,0
1,14,10,2,0
1,14,10,3,0
1,14,10,4,0
1,14,10,5,126
1,14,10,6,420
1,14,10,7,360
1,14,10,8,90
1,14,10,9,5
1,14,10,10,0
1,14,10,11,0
1,14,10,12,0
1,14,10,13,0
1,14,11,0,0
1,14,11,1,0
1,14,11,2,0
1,14,11,3,0
1,14,11,4,0
1,14,11,5,0
1,14,11,6,0
1,14,11,7,120
1,14,11,8,180
1,14,11,9,60
1,14,11,10,4
1,14,11,11,0
1,14,11,12,0
1,14,11,13,0
1,14,12,0,0
1,14,12,1,0
1,14,12,2,0
1,14,12,3,0
1,14,12,4,0
1,14,12,5,0
1,14,12,6,0
1,14,12,7,0
1,14,12,8,0
1,14,12,9,55
1,14,12,10,33
1,14,12,11,3
1,14,12,12,0
1,14,12,13,0
1,14,13,0,0
1,14,13,1,0
1,14,13,2,0
1,14,13,3,0
1,14,13,4,0
1,14,13,5,0
1,14,13,6,0
1,14,13,7,0
1,14,13,8,0
1,14,13,9,0
1,14,13,10,0
1,14,13,11,12
1,14,13,12,2
1,14,13,13,0
1,14,14,0,0
1,14,14,1,0
1,14,14,2,0
1,14,14,3,0
1,14,14,4,0
1,14,14,5,0
1,14,14,6,0
1,14,14,7,0
1,14,14,8,0
1,14,14,9,0
1,14,14,10,0
1,14,14,11,0
1,14,14,12,0
1,14,14,13,1
.DONE.
