r,c,o,a,count
1,25,0,0,1
1,25,0,1,0
1,25,0,2,0
1,25,0,3,0
1,25,0,4,0
1,25,0,5,0
1,25,0,6,0
1,25,0,7,0
1,25,0,8,0
1,25,0,9,0
1,25,0,10,0
1,25,0,11,0
1,25,0,12,0
1,25,0,13,0
1,25,0,14,0
1,25,0,15,0
1,25,0,16,0
1,25,0,17,0
1,25,0,18,0
1,25,0,19,0
1,25,0,20,0
1,25,0,21,0
1,25,0,22,0
1,25,0,23,0
1,25,0,24,0
1,25,1,0,25
1,25,1,1,0
1,25,1,2,0
1,25,1,3,0
1,25,1,4,0
1,25,1,5,0
1,25,1,6,0
1,25,1,7,0
1,25,1,8,0
1,25,1,9,0
1,25,1,10,0
1,25,1,11,0
1,25,1,12,0
1,25,1,13,0
1,25,1,14,0
1,25,1,15,0
1,25,1,16,0
1,25,1,17,0
1,25,1,18,0
1,25,1,19,0
1,25,1,20,0
1,25,1,21,0
1,25,1,22,0
1,25,1,23,0
1,25,1,24,0
1,25,2,0,276
1,25,2,1,24
1,25,2,2,0
1,25,2,3,0
1,25,2,4,0
1,25,2,5,0
1,25,2,6,0
1,25,2,7,0
1,25,2,8,0
1,25,2,9,0
1,25,2,10,0
1,25,2,11,0
1,25,2,12,0
1,25,2,13,0
1,25,2,14,0
1,25,2,15,0
1,25,2,16,0
1,25,2,17,0
1,25,2,18,0
1,25,2,19,0
1,25,2,20,0
1,25,2,21,0
1,25,2,22,0
1,25,2,23,0
1,25,2,24,0
1,25,3,0,1771
1,25,3,1,506
1,25,3,2,23
1,25,3,3,0
1,25,3,4,0
1,25,3,5,0
1,25,3,6,0
1,25,3,7,0
1,25,3,8,0
1,25,3,9,0
1,25,3,10,0
1,25,3,11,0
1,25,3,12,0
1,25,3,13,0
1,25,3,14,0
1,25,3,15,0
1,25,3,16,0
1,25,3,17,0
1,25,3,18,0
1,25,3,19,0
1,25,3,20,0
1,25,3,21,0
1,25,3,22,0
1,25,3,23,0
1,25,3,24,0
1,25,4,0,7315
1,25,4,1,4620
1,25,4,2,693
1,25,4,3,22
1,25,4,4,0
1,25,4,5,0
1,25,4,6,0
1,25,4,7,0
1,25,4,8,0
1,25,4,9,0
1,25,4,10,0
1,25,4,11,0
1,25,4,12,0
1,25,4,13,0
1,25,4,14,0
1,25,4,15,0
1,25,4,16,0
1,25,4,17,0
1,25,4,18,0
1,25,4,19,0
1,25,4,20,0
1,25,4,21,0
1,25,4,22,0
1,25,4,23,0
1,25,4,24,0
1,25,5,0,20349
1,25,5,1,23940
1,25,5,2,7980
1,25,5,3,840
1,25,5,4,21
1,25,5,5,0
1,25,5,6,0
1,25,5,7,0
1,25,5,8,0
1,25,5,9,0
1,25,5,10,0
1,25,5,11,0
1,25,5,12,0
1,25,5,13,0
1,25,5,14,0
1,25,5,15,0
1,25,5,16,0
1,25,5,17,0
1,25,5,18,0
1,25,5,19,0
1,25,5,20,0
1,25,5,21,0
1,25,5,22,0
1,25,5,23,0
1,25,5,24,0
1,25,6,0,38760
1,25,6,1,77520
1,25,6,2,48450
1,25,6,3,11400
1,25,6,4,950
1,25,6,5,20
1,25,6,6,0
1,25,6,7,0
1,25,6,8,0
1,25,6,9,0
1,25,6,10,0
1,25,6,11,0
1,25,6,12,0
1,25,6,13,0
1,25,6,14,0
1,25,6,15,0
1,25,6,16,0
1,25,6,17,0
1,25,6,18,0
1,25,6,19,0
1,25,6,20,0
1,25,6,21,0
1,25,6,22,0
1,25,6,23,0
1,25,6,24,0
1,25,7,0,50388
1,25,7,1,162792
1,25,7,2,174420
1,25,7,3,77520
1,25,7,4,14535
1,25,7,5,1026
1,25,7,6,19
1,25,7,7,0
1,25,7,8,0
1,25,7,9,0
1,25,7,10,0
1,25,7,11,0
1,25,7,12,0
1,25,7,13,0
1,25,7,14,0
1,25,7,15,0
1,25,7,16,0
1,25,7,17,0
1,25,7,18,0
1,25,7,19,0
1,25,7,20,0
1,25,7,21,0
1,25,7,22,0
1,25,7,23,0
1,25,7,24,0
1,25,8,0,43758
1,25,8,1,222768
1,25,8,2,389844
1,25,8,3,299880
1,25,8,4,107100
1,25,8,5,17136
1,25,8,6,1071
1,25,8,7,18
1,25,8,8,0
1,25,8,9,0
1,25,8,10,0
1,25,8,11,0
1,25,8,12,0
1,25,8,13,0
1,25,8,14,0
1,25,8,15,0
1,25,8,16,0
1,25,8,17,0
1,25,8,18,0
1,25,8,19,0
1,25,8,20,0
1,25,8,21,0
1,25,8,22,0
1,25,8,23,0
1,25,8,24,0
1,25,9,0,24310
1,25,9,1,194480
1,25,9,2,544544
1,25,9,3,693056
1,25,9,4,433160
1,25,9,5,133280
1,25,9,6,19040
1,25,9,7,1088
1,25,9,8,17
1,25,9,9,0
1,25,9,10,0
1,25,9,11,0
1,25,9,12,0
1,25,9,13,0
1,25,9,14,0
1,25,9,15,0
1,25,9,16,0
1,25,9,17,0
1,25,9,18,0
1,25,9,19,0
1,25,9,20,0
1,25,9,21,0
