r,c,o,a,count
1,16,0,0,1
1,16,0,1,0
1,16,0,2,0
1,16,0,3,0
1,16,0,4,0
1,16,0,5,0
1,16,0,6,0
1,16,0,7,0
1,16,0,8,0
1,16,0,9,0
1,16,0,10,0
1,16,0,11,0
1,16,0,12,0
1,16,0,13,0
1,16,0,14,0
1,16,0,15,0
1,16,1,0,16
1,16,1,1,0
1,16,1,2,0
1,16,1,3,0
1,16,1,4,0
1,16,1,5,0
1,16,1,6,0
1,16,1,7,0
1,16,1,8,0
1,16,1,9,0
1,16,1,10,0
1,16,1,11,0
1,16,1,12,0
1,16,1,13,0
1,16,1,14,0
1,16,1,15,0
1,16,2,0,105
1,16,2,1,15
1,16,2,2,0
1,16,2,3,0
1,16,2,4,0
1,16,2,5,0
1,16,2,6,0
1,16,2,7,0
1,16,2,8,0
1,16,2,9,0
1,16,2,10,0
1,16,2,11,0
1,16,2,12,0
1,16,2,13,0
1,16,2,14,0
1,16,2,15,0
1,16,3,0,364
1,16,3,1,182
1,16,3,2,14
1,16,3,3,0
1,16,3,4,0
1,16,3,5,0
1,16,3,6,0
1,16,3,7,0
1,16,3,8,0
1,16,3,9,0
1,16,3,10,0
1,16,3,11,0
1,16,3,12,0
1,16,3,13,0
1,16,3,14,0
1,16,3,15,0
1,16,4,0,715
1,16,4,1,858
1,16,4,2,234
1,16,4,3,13
1,16,4,4,0
1,16,4,5,0
1,16,4,6,0
1,16,4,7,0
1,16,4,8,0
1,16,4,9,0
1,16,4,10,0
1,16,4,11,0
1,16,4,12,0
1,16,4,13,0
1,16,4,14,0
1,16,4,15,0
1,16,5,0,792
1,16,5,1,1980
1,16,5,2,1320
1,16,5,3,264
1,16,5,4,12
1,16,5,5,0
1,16,5,6,0
1,16,5,7,0
1,16,5,8,0
1,16,5,9,0
1,16,5,10,0
1,16,5,11,0
1,16,5,12,0
1,16,5,13,0
1,16,5,14,0
1,16,5,15,0
1,16,6,0,462
1,16,6,1,2310
1,16,6,2,3300
1,16,6,3,1650
1,16,6,4,275
1,16,6,5,11
1,16,6,6,0
1,16,6,7,0
1,16,6,8,0
1,16,6,9,0
1,16,6,10,0
1,16,6,11,0
1,16,6,12,0
1,16,6,13,0
1,16,6,14,0
1,16,6,15,0
1,16,7,0,120
1,16,7,1,1260
1,16,7,2,3780
1,16,7,3,4200
1,16,7,4,1800
1,16,7,5,270
1,16,7,6,10
1,16,7,7,0
1,16,7,8,0
1,16,7,9,0
1,16,7,10,0
1,16,7,11,0
1,16,7,12,0
1,16,7,13,0
1,16,7,14,0
1,16,7,15,0
1,16,8,0,9
1,16,8,1,252
1,16,8,2,1764
1,16,8,3,4410
1,16,8,4,4410
1,16,8,5,1764
1,16,8,6,252
1,16,8,7,9
1,16,8,8,0
1,16,8,9,0
1,16,8,10,0
1,16,8,11,0
1,16,8,12,0
1,16,8,13,0
1,16,8,14,0
1,16,8,15,0
1,16,9,0,0
1,16,9,1,8
1,16,9,2,224
1,16,9,3,1568
1,16,9,4,3920
1,16,9,5,3920
1,16,9,6,1568
1,16,9,7,224
1,16,9,8,8
1,16,9,9,0
1,16,9,10,0
1,16,9,11,0
1,16,9,12,0
1,16,9,13,0
1,16,9,14,0
1,16,9,15,0
1,16,10,0,0
1,16,10,1,0
1,16,10,2,0
1,16,10,3,84
1,16,10,4,882
1,16,10,5,2646
1,16,10,6,2940
1,16,10,7,1260
1,16,10,8,189
1,16,10,9,7
1,16,10,10,0
1,16,10,11,0
1,16,10,12,0
1,16,10,13,0
1,16,10,14,0
1,16,10,15,0
1,16,11,0,0
1,16,11,1,0
1,16,11,2,0
1,16,11,3,0
1,16,11,4,0
1,16,11,5,252
1,16,11,6,1260
1,16,11,7,1800
1,16,11,8,900
1,16,11,9,150
1,16,11,10,6
1,16,11,11,0
1,16,11,12,0
1,16,11,13,0
1,16,11,14,0
1,16,11,15,0
1,16,12,0,0
1,16,12,1,0
1,16,12,2,0
1,16,12,3,0
1,16,12,4,0
1,16,12,5,0
1,16,12,6,0
1,16,12,7,330
1,16,12,8,825
1,16,12,9,550
1,16,12,10,110
1,16,12,11,5
1,16,12,12,0
1,16,12,13,0
1,16,12,14,0
1,16,12,15,0
1,16,13,0,0
1,16,13,1,0
1,16,13,2,0
1,16,13,3,0
1,16,13,4,0
1,16,13,5,0
1,16,13,6,0
1,16,13,7,0
1,16,13,8,0
1,16,13,9,220
1,16,13,10,264
1,16,13,11,72
1,16,13,12,4
1,16,13,13,0
1,16,13,14,0
1,16,13,15,0
1,16,14,0,0
1,16,14,1,0
1,16,14,2,0
1,16,14,3,0
1,16,14,4,0
1,16,14,5,0
1,16,14,6,0
1,16,14,7,0
1,16,14,8,0
1,16,14,9,0
1,16,14,10,0
1,16,14,11,78
1,16,14,12,39
1,16,14,13,3
1,16,14,14,0
1,16,14,15,0
1,16,15,0,0
1,16,15,1,0
1,16,15,2,0
1,16,15,3,0
1,16,15,4,0
1,16,15,5,0
1,16,15,6,0
1,16,15,7,0
1,16,15,8,0
1,16,15,9,0
1,16,15,10,0
1,16,15,11,0
1,16,15,12,0
1,16,15,13,14
1,16,15,14,2
1,16,15,15,0
1,16,16,0,0
1,16,16,1,0
1,16,16,2,0
1,16,16,3,0
1,16,16,4,0
1,16,16,5,0
1,16,16,6,0
1,16,16,7,0
1,16,16,8,0
1,16,16,9,0
1,16,16,10,0
1,16,16,11,0
1,16,16,12,0
1,16,16,13,0
1,16,16,14,0
1,16,16,15,1
.DONE.
