r,c,o,a,count
1,20,0,0,1
1,20,0,1,0
1,20,0,2,0
1,20,0,3,0
1,20,0,4,0
1,20,0,5,0
1,20,0,6,0
1,20,0,7,0
1,20,0,8,0
1,20,0,9,0
1,20,0,10,0
1,20,0,11,0
1,20,0,12,0
1,20,0,13,0
1,20,0,14,0
1,20,0,15,0
1,20,0,16,0
1,20,0,17,0
1,20,0,18,0
1,20,0,19,0
1,20,1,0,20
1,20,1,1,0
1,20,1,2,0
1,20,1,3,0
1,20,1,4,0
1,20,1,5,0
1,20,1,6,0
1,20,1,7,0
1,20,1,8,0
1,20,1,9,0
1,20,1,10,0
1,20,1,11,0
1,20,1,12,0
1,20,1,13,0
1,20,1,14,0
1,20,1,15,0
1,20,1,16,0
1,20,1,17,0
1,20,1,18,0
1,20,1,19,0
1,20,2,0,171
1,20,2,1,19
1,20,2,2,0
1,20,2,3,0
1,20,2,4,0
1,20,2,5,0
1,20,2,6,0
1,20,2,7,0
1,20,2,8,0
1,20,2,9,0
1,20,2,10,0
1,20,2,11,0
1,20,2,12,0
1,20,2,13,0
1,20,2,14,0
1,20,2,15,0
1,20,2,16,0
1,20,2,17,0
1,20,2,18,0
1,20,2,19,0
1,20,3,0,816
1,20,3,1,306
1,20,3,2,18
1,20,3,3,0
1,20,3,4,0
1,20,3,5,0
1,20,3,6,0
1,20,3,7,0
1,20,3,8,0
1,20,3,9,0
1,20,3,10,0
1,20,3,11,0
1,20,3,12,0
1,20,3,13,0
1,20,3,14,0
1,20,3,15,0
1,20,3,16,0
1,20,3,17,0
1,20,3,18,0
1,20,3,19,0
1,20,4,0,2380
1,20,4,1,2040
1,20,4,2,408
1,20,4,3,17
1,20,4,4,0
1,20,4,5,0
1,20,4,6,0
1,20,4,7,0
1,20,4,8,0
1,20,4,9,0
1,20,4,10,0
1,20,4,11,0
1,20,4,12,0
1,20,4,13,0
1,20,4,14,0
1,20,4,15,0
1,20,4,16,0
1,20,4,17,0
1,20,4,18,0
1,20,4,19,0
1,20,5,0,4368
1,20,5,1,7280
1,20,5,2,3360
1,20,5,3,480
1,20,5,4,16
1,20,5,5,0
1,20,5,6,0
1,20,5,7,0
1,20,5,8,0
1,20,5,9,0
1,20,5,10,0
1,20,5,11,0
1,20,5,12,0
1,20,5,13,0
1,20,5,14,0
1,20,5,15,0
1,20,5,16,0
1,20,5,17,0
1,20,5,18,0
1,20,5,19,0
1,20,6,0,5005
1,20,6,1,15015
1,20,6,2,13650
1,20,6,3,4550
1,20,6,4,525
1,20,6,5,15
1,20,6,6,0
1,20,6,7,0
1,20,6,8,0
1,20,6,9,0
1,20,6,10,0
1,20,6,11,0
1,20,6,12,0
1,20,6,13,0
1,20,6,14,0
1,20,6,15,0
1,20,6,16,0
1,20,6,17,0
1,20,6,18,0
1,20,6,19,0
1,20,7,0,3432
1,20,7,1,18018
1,20,7,2,30030
1,20,7,3,20020
1,20,7,4,5460
1,20,7,5,546
1,20,7,6,14
1,20,7,7,0
1,20,7,8,0
1,20,7,9,0
1,20,7,10,0
1,20,7,11,0
1,20,7,12,0
1,20,7,13,0
1,20,7,14,0
1,20,7,15,0
1,20,7,16,0
1,20,7,17,0
1,20,7,18,0
1,20,7,19,0
1,20,8,0,1287
1,20,8,1,12012
1,20,8,2,36036
1,20,8,3,45045
1,20,8,4,25025
1,20,8,5,6006
1,20,8,6,546
1,20,8,7,13
1,20,8,8,0
1,20,8,9,0
1,20,8,10,0
1,20,8,11,0
1,20,8,12,0
1,20,8,13,0
1,20,8,14,0
1,20,8,15,0
1,20,8,16,0
1,20,8,17,0
1,20,8,18,0
1,20,8,19,0
1,20,9,0,220
1,20,9,1,3960
1,20,9,2,22176
1,20,9,3,51744
1,20,9,4,55440
1,20,9,5,27720
1,20,9,6,6160
1,20,9,7,528
1,20,9,8,12
1,20,9,9,0
1,20,9,10,0
1,20,9,11,0
1,20,9,12,0
1,20,9,13,0
1,20,9,14,0
1,20,9,15,0
1,20,9,16,0
1,20,9,17,0
1,20,9,18,0
1,20,9,19,0
1,20,10,0,11
1,20,10,1,495
1,20,10,2,5940
1,20,10,3,27720
1,20,10,4,58212
1,20,10,5,58212
1,20,10,6,27720
1,20,10,7,5940
1,20,10,8,495
1,20,10,9,11
1,20,10,10,0
1,20,10,11,0
1,20,10,12,0
