r,c,o,a,count
4,4,0,0,1
4,4,0,1,0
4,4,0,2,0
4,4,0,3,0
4,4,0,4,0
4,4,0,5,0
4,4,0,6,0
4,4,0,7,0
4,4,0,8,0
4,4,0,9,0
4,4,0,10,0
4,4,0,11,0
4,4,0,12,0
4,4,0,13,0
4,4,0,14,0
4,4,0,15,0
4,4,0,16,0
4,4,0,17,0
4,4,0,18,0
4,4,0,19,0
4,4,0,20,0
4,4,0,21,0
4,4,0,22,0
4,4,0,23,0
4,4,0,24,0
4,4,1,0,16
4,4,1,1,0
4,4,1,2,0
4,4,1,3,0
4,4,1,4,0
4,4,1,5,0
4,4,1,6,0
4,4,1,7,0
4,4,1,8,0
4,4,1,9,0
4,4,1,10,0
4,4,1,11,0
4,4,1,12,0
4,4,1,13,0
4,4,1,14,0
4,4,1,15,0
4,4,1,16,0
4,4,1,17,0
4,4,1,18,0
4,4,1,19,0
4,4,1,20,0
4,4,1,21,0
4,4,1,22,0
4,4,1,23,0
4,4,1,24,0
4,4,2,0,96
4,4,2,1,24
4,4,2,2,0
4,4,2,3,0
4,4,2,4,0
4,4,2,5,0
4,4,2,6,0
4,4,2,7,0
4,4,2,8,0
4,4,2,9,0
4,4,2,10,0
4,4,2,11,0
4,4,2,12,0
4,4,2,13,0
4,4,2,14,0
4,4,2,15,0
4,4,2,16,0
4,4,2,17,0
4,4,2,18,0
4,4,2,19,0
4,4,2,20,0
4,4,2,21,0
4,4,2,22,0
4,4,2,23,0
4,4,2,24,0
4,4,3,0,276
4,4,3,1,232
4,4,3,2,52
4,4,3,3,0
4,4,3,4,0
4,4,3,5,0
4,4,3,6,0
4,4,3,7,0
4,4,3,8,0
4,4,3,9,0
4,4,3,10,0
4,4,3,11,0
4,4,3,12,0
4,4,3,13,0
4,4,3,14,0
4,4,3,15,0
4,4,3,16,0
4,4,3,17,0
4,4,3,18,0
4,4,3,19,0
4,4,3,20,0
4,4,3,21,0
4,4,3,22,0
4,4,3,23,0
4,4,3,24,0
4,4,4,0,405
4,4,4,1,768
4,4,4,2,534
4,4,4,3,104
4,4,4,4,9
4,4,4,5,0
4,4,4,6,0
4,4,4,7,0
4,4,4,8,0
4,4,4,9,0
4,4,4,10,0
4,4,4,11,0
4,4,4,12,0
4,4,4,13,0
4,4,4,14,0
4,4,4,15,0
4,4,4,16,0
4,4,4,17,0
4,4,4,18,0
4,4,4,19,0
4,4,4,20,0
4,4,4,21,0
4,4,4,22,0
4,4,4,23,0
4,4,4,24,0
4,4,5,0,304
4,4,5,1,1064
4,4,5,2,1680
4,4,5,3,1016
4,4,5,4,256
4,4,5,5,48
4,4,5,6,0
4,4,5,7,0
4,4,5,8,0
4,4,5,9,0
4,4,5,10,0
4,4,5,11,0
4,4,5,12,0
4,4,5,13,0
4,4,5,14,0
4,4,5,15,0
4,4,5,16,0
4,4,5,17,0
4,4,5,18,0
4,4,5,19,0
4,4,5,20,0
4,4,5,21,0
4,4,5,22,0
4,4,5,23,0
4,4,5,24,0
4,4,6,0,114
4,4,6,1,628
4,4,6,2,1920
4,4,6,3,2792
4,4,6,4,1758
4,4,6,5,640
4,4,6,6,144
4,4,6,7,12
4,4,6,8,0
4,4,6,9,0
4,4,6,10,0
4,4,6,11,0
4,4,6,12,0
4,4,6,13,0
4,4,6,14,0
4,4,6,15,0
4,4,6,16,0
4,4,6,17,0
4,4,6,18,0
4,4,6,19,0
4,4,6,20,0
4,4,6,21,0
4,4,6,22,0
4,4,6,23,0
4,4,6,24,0
4,4,7,0,20
4,4,7,1,152
4,4,7,2,780
4,4,7,3,2360
4,4,7,4,3640
4,4,7,5,2752
4,4,7,6,1296
4,4,7,7,360
4,4,7,8,80
4,4,7,9,0
4,4,7,10,0
4,4,7,11,0
4,4,7,12,0
4,4,7,13,0
4,4,7,14,0
4,4,7,15,0
4,4,7,16,0
4,4,7,17,0
4,4,7,18,0
4,4,7,19,0
4,4,7,20,0
4,4,7,21,0
4,4,7,22,0
4,4,7,23,0
4,4,7,24,0
4,4,8,0,2
4,4,8,1,8
4,4,8,2,116
4,4,8,3,548
4,4,8,4,1914
4,4,8,5,3636
4,4,8,6,3514
4,4,8,7,2076
4,4,8,8,790
4,4,8,9,244
4,4,8,10,22
4,4,8,11,0
4,4,8,12,0
4,4,8,13,0
4,4,8,14,0
4,4,8,15,0
4,4,8,16,0
4,4,8,17,0
4,4,8,18,0
4,4,8,19,0
4,4,8,20,0
4,4,8,21,0
4,4,8,22,0
4,4,8,23,0
4,4,8,24,0
4,4,9,0,0
4,4,9,1,0
4,4,9,2,4
4,4,9,3,24
4,4,9,4,228
4,4,9,5,856
4,4,9,6,2512
4,4,9,7,3224
4,4,9,8,2648
4,4,9,9,1304
4,4,9,10,508
4,4,9,11,128
4,4,9,12,4
4,4,9,13,0
4,4,9,14,0
4,4,9,15,0
4,4,9,16,0
4,4,9,17,0
4,4,9,18,0
4,4,9,19,0
4,4,9,20,0
4,4,9,21,0
4,4,9,22,0
4,4,9,23,0
4,4,9,24,0
4,4,10,0,0
4,4,10,1,0
4,4,10,2,0
4,4,10,3,0
4,4,10,4,2
4,4,10,5,24
4,4,10,6,196
4,4,10,7,836
4,4,10,8,1940
4,4,10,9,2264
4,4,10,10,1596
4,4,10,11,796
4,4,10,12,298
4,4,10,13,56
4,4,10,14,0
4,4,10,15,0
4,4,10,16,0
4,4,10,17,0
4,4,10,18,0
4,4,10,19,0
4,4,10,20,0
4,4,10,21,0
4,4,10,22,0
4,4,10,23,0
4,4,10,24,0
4,4,11,0,0
4,4,11,1,0
4,4,11,2,0
4,4,11,3,0
4,4,11,4,0
4,4,11,5,0
4,4,11,6,0
4,4,11,7,8
4,4,11,8,80
4,4,11,9,464
4,4,11,10,1112
4,4,11,11,1192
4,4,11,12,924
4,4,11,13,392
4,4,11,14,180
4,4,11,15,16
4,4,11,16,0
4,4,11,17,0
4,4,11,18,0
4,4,11,19,0
4,4,11,20,0
4,4,11,21,0
4,4,11,22,0
4,4,11,23,0
4,4,11,24,0
4,4,12,0,0
4,4,12,1,0
4,4,12,2,0
4,4,12,3,0
4,4,12,4,0
4,4,12,5,0
4,4,12,6,0
4,4,12,7,0
4,4,12,8,0
4,4,12,9,0
4,4,12,10,12
4,4,12,11,124
4,4,12,12,441
4,4,12,13,540
4,4,12,14,410
4,4,12,15,204
4,4,12,16,85
4,4,12,17,4
4,4,12,18,0
4,4,12,19,0
4,4,12,20,0
4,4,12,21,0
4,4,12,22,0
4,4,12,23,0
4,4,12,24,0
4,4,13,0,0
4,4,13,1,0
4,4,13,2,0
4,4,13,3,0
4,4,13,4,0
4,4,13,5,0
4,4,13,6,0
4,4,13,7,0
4,4,13,8,0
